metros_cuadrados,num_habitacion,num_banos,zona_id,parking,piscina,precio_eth
183,2,2,1,0,0,0.150626
114,2,1,5,1,0,0.082758
105,5,4,4,0,0,0.104539
127,4,4,9,1,0,0.084308
249,2,1,7,0,0,0.073233
65,3,2,5,0,0,0.081124
216,3,2,9,1,0,0.091675
62,2,1,8,1,0,0.07239
138,3,2,4,1,0,0.098195
158,1,1,3,1,0,0.113084
137,4,4,4,0,0,0.091923
78,5,5,3,1,0,0.119291
245,3,2,7,1,0,0.095039
229,1,1,101,1,0,0.28026
76,2,1,6,1,0,0.079608
43,5,5,10,0,1,0.096472
111,4,4,6,1,0,0.091673
181,3,2,6,0,0,0.078406
212,4,4,7,0,0,0.085003
239,1,1,5,1,1,0.106483
63,3,3,9,0,0,0.060599
75,4,4,5,1,0,0.093218
213,4,4,4,0,0,0.108185
94,1,1,8,1,0,0.070827
66,1,1,5,0,1,0.080103
117,4,3,4,1,0,0.105944
68,3,2,102,1,0,0.1834
177,5,5,2,0,0,0.119403
86,2,2,4,0,0,0.077483
76,1,1,3,1,1,0.110753
207,2,1,5,1,1,0.109733
154,1,1,5,1,1,0.09665
152,4,4,8,1,1,0.110119
69,1,1,4,1,0,0.077758
162,2,1,6,0,0,0.067818
110,2,1,9,1,0,0.073027
69,2,1,8,1,0,0.072469
197,4,4,4,0,0,0.100555
210,2,1,3,1,0,0.123222
87,1,1,7,1,0,0.064971
68,2,1,4,1,0,0.083725
42,3,3,4,1,0,0.08441
138,3,2,5,0,0,0.089812
92,4,3,7,0,0,0.069359
97,3,2,6,1,0,0.078116
247,3,2,10,1,1,0.110243
209,5,4,4,0,0,0.110049
208,3,2,5,0,0,0.097126
128,5,5,6,0,0,0.082802
159,4,3,10,0,1,0.084463
50,5,5,5,1,0,0.089887
87,4,3,1,0,0,0.141671
41,2,2,3,1,0,0.093698
122,5,4,7,1,0,0.092477
221,4,4,3,1,1,0.141519
235,1,1,3,1,0,0.113808
92,5,5,101,1,0,0.245219
50,2,1,6,0,0,0.060279
74,1,1,7,1,1,0.086506
70,1,1,5,1,0,0.077182
177,1,1,2,1,1,0.13522
234,1,1,3,0,0,0.107331
203,2,1,6,1,0,0.093985
90,3,3,2,0,1,0.128654
143,4,3,7,1,0,0.08926
156,3,2,7,1,0,0.083281
156,1,1,2,1,0,0.111272
170,1,1,5,1,0,0.089572
148,5,5,1,0,0,0.155216
66,1,1,6,1,0,0.063554
220,1,1,7,1,1,0.101709
177,5,4,5,1,0,0.105002
208,1,1,6,0,0,0.07718
193,2,2,3,1,1,0.132992
69,5,5,5,0,0,0.089078
71,4,3,8,1,0,0.078479
91,4,4,4,1,0,0.105424
99,1,1,8,0,0,0.054469
222,4,3,3,0,0,0.126733
147,2,2,5,0,0,0.076074
200,4,4,4,0,0,0.108646
204,5,4,7,1,0,0.10008
236,4,4,2,0,0,0.133024
49,2,2,3,1,0,0.092138
190,1,1,101,0,0,0.268337
72,2,2,5,1,1,0.095898
207,4,3,4,0,0,0.109402
153,2,2,5,0,0,0.086642
115,2,2,6,1,1,0.094347
174,2,1,2,1,0,0.12921
225,1,1,4,0,0,0.09674
119,4,3,10,1,0,0.08067
205,5,5,2,0,0,0.138137
131,4,3,8,1,1,0.095959
138,3,3,1,0,0,0.134702
105,2,2,5,1,0,0.085519
64,4,3,6,0,0,0.076076
203,1,1,8,1,1,0.101571
183,1,1,3,0,0,0.10033
72,2,1,3,1,0,0.090782
76,5,4,4,1,0,0.09864
170,3,2,5,0,0,0.088305
186,4,4,7,1,0,0.091726
106,4,3,6,0,0,0.073499
170,1,1,5,0,1,0.084768
83,1,1,10,0,0,0.058771
147,5,4,6,1,0,0.089382
150,5,4,3,1,0,0.130429
79,3,2,2,1,0,0.120411
212,2,2,8,0,0,0.072355
238,5,5,6,0,0,0.093901
106,5,5,3,1,1,0.141412
96,2,1,1,1,0,0.132065
75,3,2,4,1,0,0.086917
126,4,4,4,1,0,0.109507
42,1,1,3,0,0,0.087394
229,2,2,4,1,0,0.110937
244,4,3,5,0,1,0.109045
179,4,3,6,1,0,0.08819
237,2,1,1,1,0,0.144506
165,4,4,4,1,0,0.103191
34,4,3,6,1,0,0.072844
179,2,1,8,1,0,0.083879
171,4,4,4,0,0,0.100319
230,1,1,9,1,0,0.087048
35,3,2,8,1,1,0.080045
78,2,1,8,1,0,0.074401
163,3,2,4,0,0,0.086568
120,2,2,6,0,1,0.092505
54,5,4,3,0,0,0.114335
154,4,4,6,1,0,0.086242
178,2,1,5,0,1,0.105162
125,4,4,4,1,1,0.130468
189,5,5,3,1,0,0.118048
240,2,1,7,0,0,0.080888
236,1,1,2,0,0,0.112589
144,4,4,7,1,1,0.106806
81,5,4,7,1,0,0.09113
220,5,5,8,0,0,0.096822
115,5,4,5,0,0,0.09512
178,2,2,3,0,0,0.095025
242,5,4,4,0,0,0.10828
168,5,4,2,0,0,0.137764
141,4,3,4,1,0,0.105636
50,2,2,6,0,0,0.070648
159,4,3,1,0,0,0.156327
50,4,4,5,1,0,0.083573
174,4,4,7,1,0,0.092626
130,5,4,2,0,0,0.113916
181,1,1,5,1,0,0.095004
209,3,3,5,1,0,0.100285
125,2,1,8,0,0,0.069729
133,1,1,2,0,0,0.109359
107,1,1,8,1,0,0.066739
193,4,4,6,1,0,0.102023
61,4,3,9,0,0,0.065294
182,3,2,9,1,0,0.079833
242,4,3,102,1,0,0.223614
148,1,1,7,1,0,0.07421
165,4,3,101,0,0,0.278394
58,5,4,2,0,0,0.128321
236,3,3,5,1,0,0.103843
213,3,3,2,0,0,0.126828
54,5,5,7,0,0,0.081142
32,1,1,7,0,0,0.051933
39,5,4,6,1,0,0.082684
166,4,3,1,0,0,0.152546
43,1,1,7,1,0,0.068698
99,3,3,6,0,0,0.078995
183,5,4,1,1,0,0.163929
33,4,4,8,0,0,0.068939
32,5,4,2,0,0,0.114492
187,2,2,5,0,0,0.076986
179,5,4,7,1,0,0.096231
205,5,4,3,0,0,0.117888
142,3,2,9,1,1,0.097914
174,4,3,5,1,0,0.105514
104,1,1,4,1,0,0.086828
234,3,3,6,1,0,0.104574
80,5,5,8,0,0,0.083868
194,4,4,7,1,1,0.11227
155,2,2,7,1,0,0.075008
89,4,3,5,0,1,0.087831
181,4,3,3,0,0,0.12283
149,2,1,8,0,0,0.065228
102,5,4,9,0,0,0.072558
225,2,2,3,1,0,0.123486
232,4,3,2,1,1,0.150318
157,1,1,6,1,0,0.073854
245,1,1,10,0,1,0.08317
190,2,2,8,0,0,0.075412
110,5,5,2,1,0,0.138112
46,2,1,5,0,0,0.063117
51,1,1,5,0,1,0.084513
105,4,4,7,1,0,0.080393
164,5,4,7,1,0,0.085299
242,4,3,6,0,1,0.112471
142,2,2,4,0,0,0.08862
35,4,4,7,1,0,0.085792
41,2,1,6,0,0,0.063669
84,1,1,5,0,1,0.082922
227,4,3,9,0,1,0.096207
69,1,1,8,0,0,0.059171
136,5,4,8,1,1,0.097063
168,1,1,7,1,0,0.074081
185,2,2,6,1,0,0.079368
225,1,1,7,1,0,0.077342
38,4,3,4,1,0,0.095645
204,4,3,7,0,0,0.091887
59,2,1,2,1,0,0.104751
209,2,2,6,1,0,0.087655
157,1,1,4,1,0,0.086182
154,2,1,6,0,0,0.06842
177,4,4,6,1,0,0.099312
182,5,5,7,1,0,0.106127
174,1,1,6,0,1,0.093834
248,3,3,3,0,0,0.114523
219,3,3,5,1,0,0.091113
117,2,1,4,0,1,0.109406
199,3,3,6,1,1,0.109076
153,1,1,3,1,0,0.097764
193,1,1,4,0,0,0.096587
82,3,3,1,0,0,0.144798
37,2,2,101,0,0,0.241135
45,5,4,6,1,0,0.093862
79,5,5,3,1,0,0.118125
230,5,5,8,1,0,0.102957
74,4,3,6,1,0,0.089839
122,5,5,6,1,0,0.098456
121,4,3,6,0,0,0.087208
191,3,3,5,1,0,0.105134
239,1,1,3,1,0,0.109294
222,1,1,5,1,0,0.089648
113,1,1,1,1,1,0.160106
177,4,4,6,0,0,0.087822
136,1,1,7,1,0,0.074065
88,1,1,102,1,0,0.173959
75,5,5,8,0,0,0.080667
138,4,4,10,0,0,0.083117
37,1,1,8,0,0,0.04922
113,2,1,5,0,0,0.072744
176,4,3,2,1,0,0.12836
196,2,2,8,1,0,0.08474
171,2,2,8,1,0,0.08421
184,5,4,102,1,0,0.229186
198,4,4,4,1,0,0.123567
91,1,1,6,0,0,0.068424
211,3,2,5,1,0,0.104554
59,4,3,8,1,0,0.08385
92,3,2,1,0,0,0.130153
181,2,1,1,0,0,0.144071
76,4,4,6,0,0,0.075029
248,3,3,5,0,0,0.101706
213,4,3,3,1,0,0.12444
149,3,3,1,1,0,0.134751
221,3,2,3,0,0,0.112326
199,5,4,4,0,1,0.133956
225,2,1,6,1,0,0.08224
174,5,4,3,0,0,0.119167
191,5,4,4,0,0,0.115592
138,3,2,4,0,0,0.101894
132,4,4,103,0,0,0.159699
127,3,2,8,1,1,0.096525
181,2,2,1,0,0,0.138221
193,3,3,7,1,1,0.104996
169,5,4,7,1,0,0.090644
75,2,1,5,1,1,0.086269
81,2,1,7,0,0,0.061668
232,1,1,101,1,1,0.26766
208,4,4,2,1,0,0.147127
110,1,1,4,0,0,0.07838
98,5,5,1,1,1,0.167819
122,3,3,4,1,0,0.098729
223,1,1,7,1,0,0.090374
143,2,2,1,0,0,0.130825
66,1,1,7,0,0,0.060458
156,1,1,4,1,0,0.09924
235,4,3,5,0,0,0.09946
234,5,4,5,0,1,0.112118
197,1,1,5,1,0,0.081848
247,5,4,4,0,0,0.121025
235,3,2,3,0,0,0.117203
210,5,5,7,0,0,0.087194
212,2,1,6,1,0,0.087558
207,4,3,6,1,0,0.09699
234,3,3,3,1,0,0.133366
127,3,3,1,1,0,0.146826
183,2,1,6,1,1,0.098545
163,5,4,2,1,0,0.132101
176,1,1,9,1,0,0.082298
112,1,1,2,0,1,0.124281
247,5,5,6,1,0,0.099834
242,5,5,7,1,1,0.129946
204,1,1,6,0,0,0.082822
174,5,4,5,1,0,0.102922
175,3,2,3,0,1,0.124281
129,2,1,7,0,1,0.085349
129,5,5,3,1,0,0.127142
47,3,2,6,1,0,0.075118
94,4,4,2,0,0,0.108832
167,5,4,3,0,0,0.126835
31,1,1,7,1,0,0.060958
41,4,3,1,1,1,0.152709
94,4,4,5,1,0,0.101635
56,5,4,2,1,0,0.11933
182,1,1,4,1,0,0.087866
72,5,4,6,1,1,0.104068
37,1,1,4,1,0,0.079824
224,5,5,5,1,0,0.101043
201,2,1,7,1,1,0.10774
207,3,3,3,1,0,0.126669
228,2,2,6,1,0,0.084296
210,4,4,7,0,0,0.095874
131,4,4,2,1,0,0.120551
34,4,3,5,0,0,0.073757
44,5,4,4,1,0,0.10805
239,2,1,3,1,0,0.116121
201,5,5,102,1,0,0.220293
124,4,3,10,1,0,0.090884
93,3,2,5,1,0,0.092888
244,2,1,7,0,0,0.077098
46,3,3,7,1,1,0.083537
37,4,4,7,0,0,0.077207
115,5,4,7,1,0,0.087298
185,2,2,4,1,0,0.110063
229,3,2,5,1,0,0.102526
39,4,4,10,0,1,0.083111
118,5,5,7,0,0,0.090813
142,3,2,4,0,0,0.094799
120,2,1,8,1,1,0.096896
116,2,2,1,0,0,0.1238
127,5,5,5,1,0,0.102719
128,4,3,5,1,0,0.101807
183,5,5,8,1,0,0.097662
138,5,4,8,0,0,0.077478
248,4,3,5,1,0,0.112803
69,5,4,6,1,0,0.081682
214,1,1,9,0,0,0.069855
210,1,1,4,1,0,0.10488
197,5,5,2,1,1,0.146644
105,3,3,7,1,0,0.082265
59,5,5,2,0,0,0.115603
76,4,4,5,0,0,0.077183
45,3,3,3,1,0,0.110893
38,1,1,4,1,0,0.090675
140,1,1,5,1,0,0.082547
65,1,1,3,1,0,0.089206
227,1,1,8,1,0,0.077531
198,5,5,10,0,0,0.095453
92,1,1,5,1,0,0.074682
247,4,3,1,0,1,0.178009
192,2,2,3,1,0,0.1194
112,1,1,5,1,0,0.083078
163,5,4,4,1,0,0.105325
231,1,1,4,1,0,0.108986
86,5,4,6,0,0,0.086925
112,3,2,3,0,0,0.091933
82,3,3,4,0,0,0.09377
107,5,4,2,0,0,0.118226
243,5,5,9,0,0,0.096973
211,3,2,4,1,0,0.103646
231,1,1,10,0,0,0.066653
87,5,4,7,1,0,0.08536
248,1,1,5,0,0,0.089292
31,4,3,6,1,1,0.086047
186,4,4,5,1,0,0.093679
95,5,4,6,1,0,0.089508
125,1,1,8,0,0,0.068629
183,1,1,9,1,0,0.068772
51,4,3,6,0,0,0.07133
36,1,1,4,1,1,0.10466
135,1,1,2,0,0,0.11242
156,1,1,5,1,0,0.082965
176,4,4,7,1,0,0.087119
68,1,1,1,1,0,0.124028
139,5,5,5,0,0,0.098689
87,1,1,4,1,0,0.094883
156,3,2,3,1,0,0.116765
94,3,2,5,0,0,0.073229
136,1,1,8,0,0,0.066234
85,3,3,6,1,1,0.102833
197,4,3,2,1,1,0.158997
179,3,2,5,0,0,0.07864
83,4,3,5,0,0,0.084236
158,5,4,9,1,0,0.096331
224,5,5,4,1,0,0.117167
217,3,2,7,1,0,0.082105
117,1,1,10,0,1,0.073366
206,2,1,2,1,1,0.137192
138,3,3,6,0,1,0.100032
244,3,2,3,1,0,0.127168
170,4,4,7,1,0,0.098679
163,4,3,4,0,0,0.098972
189,2,2,2,0,0,0.110975
230,2,1,3,0,0,0.103457
147,4,3,5,1,0,0.094734
48,3,2,3,1,0,0.099737
170,1,1,6,0,1,0.086825
90,5,5,3,0,0,0.109088
78,3,3,7,1,1,0.094866
200,1,1,6,1,0,0.086028
153,1,1,8,1,0,0.078544
109,1,1,5,0,0,0.071451
176,2,2,2,1,0,0.121414
175,3,2,8,0,0,0.074319
214,4,4,2,0,0,0.126762
74,4,3,5,1,0,0.081163
235,3,3,7,0,0,0.08818
136,3,2,5,0,0,0.073887
153,2,2,6,0,0,0.074088
87,5,4,5,1,0,0.088259
240,4,4,4,0,0,0.107988
215,1,1,6,1,0,0.090968
243,2,1,4,1,0,0.100346
88,1,1,8,1,1,0.085993
168,1,1,8,1,0,0.077702
142,1,1,3,1,0,0.105301
185,5,4,8,0,0,0.079399
210,4,3,2,1,0,0.140995
233,1,1,4,0,0,0.093095
125,3,3,6,1,0,0.082377
85,3,2,103,0,1,0.18639
31,3,3,2,1,0,0.126145
72,5,5,1,1,0,0.149968
124,5,5,4,0,0,0.10969
232,4,3,1,0,0,0.164665
206,4,3,1,0,0,0.1625
226,5,5,102,1,0,0.232978
200,2,1,6,0,0,0.08364
168,2,2,5,1,0,0.089173
79,4,3,6,1,0,0.076314
168,5,4,2,0,1,0.15559
201,5,5,6,1,0,0.098371
112,1,1,3,1,0,0.092391
204,1,1,6,1,0,0.075386
88,3,3,10,1,0,0.076647
213,2,1,8,1,0,0.085161
211,2,2,2,1,0,0.115741
69,2,1,3,1,0,0.104229
36,5,5,7,1,0,0.080031
102,3,3,6,0,1,0.09863
37,5,4,5,0,0,0.080392
46,2,1,7,0,0,0.058601
87,2,2,2,1,0,0.107632
113,3,3,5,1,1,0.100059
133,3,2,1,1,0,0.154578
57,1,1,3,1,0,0.102146
111,2,2,7,0,0,0.063158
39,3,2,2,0,0,0.104647
86,2,2,7,1,0,0.074694
144,4,3,1,1,0,0.139901
42,1,1,3,1,0,0.094499
237,1,1,6,1,0,0.079967
77,2,1,7,0,0,0.05801
170,5,5,7,1,0,0.09725
43,4,3,6,1,0,0.074445
195,4,4,3,0,0,0.124622
179,5,4,3,1,0,0.123229
128,2,2,7,1,0,0.078939
98,4,4,5,0,0,0.085574
156,4,4,2,1,0,0.128935
110,4,4,4,1,0,0.099858
248,5,5,3,0,0,0.137699
196,5,5,6,1,0,0.107839
174,5,4,5,0,0,0.099141
123,5,4,6,0,0,0.092197
231,4,4,4,0,0,0.11723
166,1,1,3,0,0,0.090173
235,1,1,6,0,1,0.095469
71,3,3,3,1,0,0.108815
242,5,4,2,1,0,0.129971
221,3,2,5,0,0,0.086745
178,3,2,4,1,1,0.12288
176,4,3,5,1,0,0.096038
206,3,2,7,1,0,0.092255
217,3,2,4,0,0,0.108168
199,2,1,3,1,1,0.125126
161,4,4,6,0,0,0.079988
171,5,5,1,1,0,0.146744
102,2,1,9,1,0,0.07572
215,3,2,8,1,0,0.08359
204,2,2,9,1,1,0.094737
212,1,1,4,0,0,0.091303
206,4,3,2,0,0,0.131834
139,4,4,2,1,0,0.131719
142,3,2,6,0,0,0.071022
243,3,2,1,0,0,0.157772
90,5,4,2,1,0,0.14096
122,5,5,6,1,0,0.097324
40,4,3,6,0,0,0.068972
218,5,4,1,1,0,0.172829
213,2,2,5,0,0,0.081815
130,1,1,8,0,0,0.066614
51,3,3,2,1,0,0.118038
170,1,1,8,1,0,0.071291
101,5,5,5,1,0,0.094625
192,4,3,5,1,0,0.102646
76,5,4,6,1,0,0.096839
46,1,1,3,1,0,0.095334
92,3,3,4,1,0,0.099599
189,2,1,5,0,0,0.088872
79,1,1,6,0,0,0.064786
141,4,3,1,0,0,0.14059
57,5,4,5,1,0,0.096364
230,5,4,9,1,1,0.117087
86,3,2,6,1,0,0.078362
89,2,2,1,1,0,0.149905
137,4,4,8,1,0,0.086921
125,1,1,8,1,0,0.071844
135,3,3,4,1,1,0.123285
162,3,2,6,0,0,0.078379
32,1,1,5,0,0,0.061113
102,2,2,5,1,0,0.090571
54,4,3,7,0,0,0.076003
87,1,1,3,1,0,0.093919
40,5,5,4,1,0,0.098848
31,4,4,1,1,0,0.143999
47,3,3,7,1,1,0.086358
77,2,1,1,0,0,0.115416
184,3,3,4,0,1,0.115945
153,4,4,3,1,0,0.114182
242,5,4,4,0,0,0.122022
187,2,2,5,0,0,0.081315
204,4,4,4,0,0,0.115575
58,4,4,5,0,0,0.084118
226,4,3,3,0,0,0.121442
129,4,3,2,0,0,0.12304
145,1,1,4,1,0,0.087446
155,3,3,101,0,0,0.228313
166,2,2,7,1,1,0.09968
214,5,5,7,1,1,0.114872
167,2,1,8,0,0,0.066009
188,3,2,7,1,0,0.078401
79,4,4,3,1,0,0.116849
210,2,2,2,0,1,0.124531
69,2,2,3,1,0,0.110379
211,2,2,5,1,0,0.090265
54,5,4,6,1,0,0.090565
71,5,4,8,0,0,0.06872
70,2,1,4,1,1,0.103676
230,2,1,5,1,0,0.099638
208,4,3,6,0,0,0.096954
58,4,4,5,1,0,0.081518
107,5,4,8,0,0,0.073667
227,4,4,6,0,0,0.100013
246,1,1,4,1,1,0.107126
152,3,3,6,1,0,0.079576
227,4,3,2,1,0,0.127037
44,4,4,6,1,1,0.089583
145,3,2,7,0,0,0.072363
112,5,5,6,1,1,0.115913
124,2,2,4,1,0,0.096414
201,3,3,5,1,0,0.10586
128,4,3,5,1,0,0.090777
223,5,4,3,1,0,0.134263
192,5,5,4,0,0,0.117327
48,3,3,7,1,0,0.071921
140,5,5,2,1,0,0.14817
144,2,2,2,1,0,0.11028
68,3,2,1,1,0,0.132936
40,2,2,6,0,0,0.065855
249,1,1,7,1,0,0.082605
40,5,4,6,0,0,0.074726
146,5,4,10,1,1,0.111891
83,1,1,7,1,0,0.067674
40,4,3,4,1,0,0.097937
86,2,2,5,0,0,0.068996
59,4,4,9,0,0,0.076184
139,1,1,6,0,0,0.068214
195,1,1,3,1,0,0.102971
214,5,4,2,1,0,0.137947
191,4,4,3,1,0,0.113186
207,1,1,7,1,0,0.08135
152,3,3,3,1,0,0.124465
128,3,3,5,0,0,0.08019
205,1,1,7,0,0,0.078529
65,2,1,2,0,1,0.126961
116,2,2,7,0,0,0.068182
175,5,4,7,1,0,0.104105
184,1,1,4,0,0,0.083194
44,2,1,2,0,0,0.094724
239,4,3,1,0,0,0.162488
97,3,2,2,0,0,0.105027
156,2,2,3,1,0,0.119239
196,4,3,6,0,0,0.081985
189,5,5,8,1,0,0.098238
151,5,5,3,0,0,0.114935
35,4,4,8,1,1,0.087779
151,4,4,2,1,0,0.133646
106,3,2,2,0,0,0.12157
100,2,2,5,1,0,0.080571
237,1,1,7,1,1,0.103768
107,1,1,6,0,1,0.087838
47,5,5,1,1,0,0.153562
208,3,2,1,1,0,0.147576
75,1,1,5,0,1,0.090579
123,5,5,6,0,0,0.082104
231,5,4,5,0,0,0.104093
212,3,3,8,1,0,0.095631
201,1,1,3,1,1,0.133115
111,4,4,4,0,0,0.097927
209,5,4,3,0,0,0.119356
109,5,4,3,1,1,0.139116
217,5,4,6,0,0,0.093352
114,1,1,6,0,0,0.066085
180,5,5,6,0,0,0.087304
120,5,4,1,0,0,0.141567
79,4,4,6,0,0,0.08241
119,5,5,9,1,0,0.082005
57,1,1,5,0,0,0.063266
67,5,5,3,1,1,0.13145
181,3,2,2,1,0,0.121407
30,4,4,6,0,1,0.094768
176,3,3,6,1,1,0.098765
191,4,3,6,0,0,0.088531
151,1,1,7,0,0,0.069984
47,4,3,1,1,0,0.145727
38,5,5,4,0,0,0.096293
98,5,4,7,1,1,0.09291
138,2,2,1,0,1,0.141554
38,5,5,8,0,0,0.074301
41,5,4,5,1,0,0.093767
89,5,5,8,0,0,0.073864
60,2,1,6,0,0,0.066831
132,4,3,3,1,0,0.109852
113,5,5,5,0,0,0.099431
157,1,1,7,1,0,0.070297
240,4,4,9,0,0,0.08486
208,2,1,5,1,0,0.100059
36,3,2,6,1,0,0.081131
58,1,1,5,1,0,0.06856
57,3,3,10,1,0,0.070501
213,3,2,7,1,0,0.094716
138,1,1,4,1,0,0.100154
133,3,3,4,1,0,0.095886
104,2,2,6,1,0,0.075291
238,3,2,7,1,0,0.084555
145,5,5,7,0,1,0.093636
79,2,2,8,0,0,0.060015
108,3,2,7,1,0,0.077116
189,4,4,4,0,0,0.10588
122,2,1,5,1,1,0.098753
67,3,2,8,1,0,0.07364
113,5,5,8,1,0,0.092471
142,3,3,9,0,0,0.076586
123,1,1,1,1,0,0.132736
194,1,1,6,1,0,0.082514
243,2,2,8,1,0,0.091712
156,1,1,4,0,0,0.084822
61,1,1,9,0,0,0.051702
63,2,1,2,0,0,0.101916
142,5,5,8,1,0,0.099486
59,2,1,5,1,1,0.101288
69,2,2,8,1,0,0.06712
247,1,1,2,0,1,0.120457
49,3,2,3,1,1,0.11929
228,3,2,5,1,0,0.096757
51,3,2,5,1,0,0.087042
187,2,2,6,1,0,0.092564
